test_id,scenario,expected,capability_ids,mock_status,live_status,evidence_ids,note
T16,点击后连接中断,先回读查询，不盲目重试提交,PROPERTY_WRITE;PROMOTION_WRITE;INVENTORY_WRITE;PRICE_CONFIRM;PRICE_STANDARD;ORDER_ACCEPT;REVIEW_POSITIVE;REVIEW_CONFIRM;CAN_READBACK;ACTION_LEDGER,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T17,回滚与后续变更冲突,不把新价格覆盖回旧值,INVENTORY_WRITE;PRICE_CONFIRM;PRICE_STANDARD;ACTION_LEDGER,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T18,PMS管理库存/价格,不形成双主写入和反复覆盖,INVENTORY_READ;INVENTORY_WRITE;PMS_AUTHORITY;PRICE_STANDARD;ORDER_ACCEPT,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T19,无权威库存,不自行开房或承诺未知库存,INVENTORY_READ;INVENTORY_WRITE;PMS_AUTHORITY;ORDER_READ;ORDER_ACCEPT,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T20,活动费用不完整,明确待核实，不制造精确净收益,HEALTH_AUDIT;ROOM_PRODUCT;PROMOTION_ANALYSIS;PROMOTION_WRITE;REVENUE_SUPREME;REPORT_FREE,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T21,同行会员价/双早差异,标注条件，不强制错误比较,REVENUE_SUPREME;COMPETITOR,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T22,同行售罄/采集失败,分别标记，不以0元处理,COMPETITOR,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T23,事件不确定/过期,不单独触发自动涨价,PRICE_STANDARD;REVENUE_SUPREME;DEMAND,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T24,关机与恢复,不声称持续监控、不堆积补发,SCHEDULER,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T25,素材未写完/重复文件,等待稳定、去重与幂等入库,ASSETS,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T26,客人照片缺授权,不直接营销发布，不阻塞合格图片,ASSETS;CAN_UPLOAD_IMAGE,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T27,缺素材/事实,给补拍清单，不编造设施与经历,ASSETS;CONTENT_CREATE,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T28,旧游记与新笔记,不用已停运旧链路冒充现行发布,CONTENT_CREATE;CAN_OPEN_EDITOR;CAN_SUBMIT,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T29,内容账号无权限,区分导出与自动发布未完成,LOGIN_CONTENT;CONTENT_CREATE;CAN_OPEN_EDITOR;CAN_UPLOAD_IMAGE;CAN_SAVE_DRAFT;CAN_SUBMIT;CAN_READBACK,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T30,提交成功待审核,不记成已公开，记录真实状态,CAN_SUBMIT;CAN_READBACK;CAN_READ_PUBLIC_STATUS,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T31,标准/至尊去推广署名,HTML及打印无相关推广字样,REPORT_PAID,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T32,去水印与AI标识,去推广品牌，不恶意删除应有标识,CONTENT_CREATE;REPORT_PAID,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T33,HTML注入与敏感字段,转义外部文本，脱敏，无令牌,ORDER_READ;REPORT_FREE;REPORT_PAID,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T34,价格与币种,整数分正确，含39999分至尊年价,LICENSE;PAYMENT;WEBSITE,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T35,重复支付通知,不重复发证或重复延长服务,LICENSE;PAYMENT,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T36,到期/退款/升级,状态与任务生效一致，历史数据可导出,REPORT_PAID;LICENSE;PAYMENT,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T37,设备并发/迁移,单店单写，不复制Cookie到不同设备同步跑,LOGIN_EBOOKING;SCHEDULER;ACTION_LEDGER;LICENSE,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T38,至尊人工权益核销,有真实工单，续月不反复赠送首购服务,SERVICE_TICKET,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T39,年度人设蒸馏,结构化交付进入内容生成，不是空洞建议,CONTENT_CREATE;PERSONA,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T40,官网页面与安装,12优势齐全，真实链接、版本、命令及支持状态,INSTALL;WEBSITE;RELEASE,NOT_RUN,WEBSITE_AND_RELEASE_PUBLIC_PASS,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T41,断网或许可证服务故障,不破坏本地数据，明确哪些任务可继续,SCHEDULER;LICENSE,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T42,用户手工接管和急停,相关自动写动作即时暂停且可恢复,PROPERTY_WRITE;PROMOTION_WRITE;SCHEDULER;ACTION_LEDGER,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T43,账号Cookie/数据泄露检查,Release、日志、报告、模型请求均无凭证,INSTALL;RELEASE,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T44,单模块失败,只暂停受影响动作，报告和其他合格任务照常,SCHEDULER;ACTION_LEDGER,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T45,未观测内容转化,不把阅读或价格变化归因为已证明的增收,REVIEW_INSIGHT;CAN_READ_PUBLIC_STATUS;REPORT_PAID,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T46,网站/仓库未真正发布,返回待发布状态，不提供虚构线上成功链接,WEBSITE;RELEASE,NOT_RUN,WEBSITE_AND_RELEASE_PUBLIC_PASS,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
